Letter ID,Title,Date,Creator,Top Terms (comma-separated)
102,"Axel Holm to Alma C. Wilson 1945.10.25",1945.10.25,"Axel Holm","lamb(0.060), cabbage(0.060), military(0.041), 25-10-45(0.037), hassle(0.037), 250(0.037), braves(0.037), får(0.037), kål(0.037), consists(0.037)"
103,"Edvard Eidum to John Holm 1945.11.23",1945.11.23,"Edvard Eidum","sunk(0.040), iver(0.032), ships(0.030), shot(0.030), savior(0.030), god(0.029), broke(0.027), town(0.027), past(0.025), half(0.023)"
106,"Siri Lawson Cover Letter 2000",2000.11,"Siri Lawson","spelling(0.091), originals(0.085), punctuation(0.073), correct(0.069), commas(0.064), periods(0.064), style(0.055), stamps(0.049), grammar(0.049), censorship(0.049)"
107,"Siri Lawson 2nd Cover Letter 2000.11.5",2000.11.05,"Siri Lawson","letters(0.084), y(0.063), periods(0.046), sentences(0.046), translations(0.046), communication(0.046), j(0.042), generation(0.037), information(0.034), written(0.032)"
108,"Edvard Eidum to John Holm 1946.1.13",1946.01.13,"Edvard Eidum","god(0.046), hearts(0.032), hanna(0.029), without(0.028), close(0.025), 1-1946(0.024), fill(0.024), tested(0.024), balsatree(0.024), sparrow(0.024)"
109,"Herborg Holm to Alma C. Wilson 1946.1.17",1946.01.17,"Herborg Holm","father(0.022), christmas(0.020), shoes(0.019), eilif(0.019), tree(0.018), parties(0.018), walk(0.018), paternal(0.017), astrid(0.017), party(0.017)"
110,"Olava Holm to Alma C. Wilson 1946.2.3",1946.02.03,"Olava Holm","ammerica(0.072), odd(0.062), johan(0.051), speak(0.042), uncertain(0.036), groom(0.036), ten(0.036), missed(0.036), tubercolosis(0.036), ugly(0.036)"
111,"Edvard Eidum to Alma C. Wilson 1946.2.4",1946.02.04,"Edvard Eidum","farmer(0.038), railroad(0.037), stoker(0.029), radioes(0.029), baltzer(0.027), changes(0.024), except(0.023), blacksmith(0.022), belong(0.022), press(0.017)"
112,"Edvard Eidum to John Holm 1946.2.6",1946.02.06,"Edvard Eidum","coveralls(0.039), fused(0.039), wonders(0.039), text(0.028), magazine(0.024), god(0.024), told(0.021), thousand(0.020), brave(0.020), riveted(0.020)"
113,"Jorun Holm to John Holm 1946.2.12",1946.02.12,"Jorun Holm","odd(0.066), officer(0.038), sandefjord(0.038), mother(0.029), oil(0.029), march(0.028), presently(0.026), radio(0.022), vilsen(0.019), captivity(0.019)"
114,"Edvard Eidum to John Holm 1946.2.15",1946.02.15,"Edvard Eidum","26th(0.032), daylight(0.030), package(0.026), psalm(0.023), sun(0.022), december(0.021), embarrassed(0.019), whilson(0.019), findmark(0.019), ingstadkleiva(0.019)"
115,"Laura Karlson to Alma C. Wilson 1946.2.15",1946.02.15,"Laura Karlson","skogn(0.040), jakobsen(0.038), mindor(0.038), aksel(0.022), photo(0.021), son(0.020), erling(0.020), daughters(0.020), name(0.019), grey(0.019)"
116,"Axel Holm to John Holm 1946.2.19",1946.02.19,"Axel Holm","negroes(0.040), pe(0.040), hegra(0.031), partly(0.030), mercy(0.027), hegre(0.024), named(0.024), jacket(0.023), saved(0.021), soled(0.020)"
117,"Klara Krogstad to John Holm 1946.2.24",1946.02.24,"Klara Krogstad","ma(0.062), sirens(0.057), turns(0.051), cleaning(0.043), bursting(0.036), twine(0.036), auntie(0.035), basement(0.031), mechanics(0.031), class(0.031)"
